method,provider_id,provider_name,transport_type,success_rate,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,total_calls,last_updated
eth_blockNumber,0xrpc_ethereum,0xRPC Ethereum,ws,1,190,295,295,321,217.09,11,-576459014942
eth_blockNumber,alchemy_ethereum,Alchemy Ethereum,ws,1,50,74,74,81,55.23,13,-576458998247
eth_blockNumber,ethereum_chainstack,Chainstack Ethereum,ws,1,114,132,305,305,132.1,10,-576458964711
eth_blockNumber,ethereum_drpc,DRPC Ethereum,ws,1,31,42,42,57,35.18,11,-576459013693
eth_blockNumber,ethereum_llamarpc,LlamaRPC,ws,1,109,162,318,338,134.74,19,-576458961590
eth_blockNumber,ethereum_publicnode,PublicNode Ethereum,ws,1,109,117,123,123,112.83,6,-576458990209
eth_blockNumber,0xrpc_ethereum,0xRPC Ethereum,http,1,570,585,685,685,449.75,8,-576459407540
eth_blockNumber,alchemy_ethereum,Alchemy Ethereum,http,1,85,167,212,212,108.7,10,-576459632644
eth_blockNumber,ethereum_chainstack,Chainstack Ethereum,http,1,145,232,232,248,162.73,11,-576458968508
eth_blockNumber,ethereum_drpc,DRPC Ethereum,http,1,44,65,116,116,52.89,9,-576459390556
eth_blockNumber,flashbots_ethereum,Flashbots Ethereum,http,1,102,194,209,295,132.94,16,-576458968123
eth_blockNumber,ethereum_llamarpc,LlamaRPC,http,1,104,130,130,161,111.85,13,-576459401884
eth_blockNumber,ethereum_merkle,Merkle Ethereum,http,1,104,251,251,254,128.67,12,-576458983027
eth_blockNumber,ethereum_publicnode,PublicNode Ethereum,http,1,111,262,262,351,136.47,15,-576458961305
eth_call,0xrpc_ethereum,0xRPC Ethereum,ws,1,194,237,242,242,208.2,10,-576458986090
eth_call,alchemy_ethereum,Alchemy Ethereum,ws,1,54,110,110,134,65.21,14,-576458978854
eth_call,ethereum_chainstack,Chainstack Ethereum,ws,1,125,182,200,200,143.14,7,-576459376785
eth_call,ethereum_drpc,DRPC Ethereum,ws,1,40,202,202,207,75.67,12,-576458985880
eth_call,ethereum_llamarpc,LlamaRPC,ws,1,107,130,130,142,111.64,11,-576458975814
eth_call,ethereum_publicnode,PublicNode Ethereum,ws,1,113,206,206,206,143.67,3,-576458981207
eth_call,0xrpc_ethereum,0xRPC Ethereum,http,1,194,574,593,595,272.5,22,-576458960732
eth_call,alchemy_ethereum,Alchemy Ethereum,http,1,101,164,164,210,116.77,13,-576458982967
eth_call,ethereum_chainstack,Chainstack Ethereum,http,1,130,164,208,208,142.8,10,-576458971986
eth_call,ethereum_drpc,DRPC Ethereum,http,1,45,221,224,224,84.2,10,-576458976800
eth_call,flashbots_ethereum,Flashbots Ethereum,http,1,119,206,206,218,147.86,14,-576458994829
eth_call,ethereum_llamarpc,LlamaRPC,http,1,103,111,111,115,103.29,21,-576458967222
eth_call,ethereum_merkle,Merkle Ethereum,http,1,120,166,231,231,137.25,8,-576459393707
eth_call,ethereum_publicnode,PublicNode Ethereum,http,1,205,337,337,394,242.25,12,-576458963514
eth_estimateGas,0xrpc_ethereum,0xRPC Ethereum,ws,1,192,266,330,330,222,7,-576458990305
eth_estimateGas,alchemy_ethereum,Alchemy Ethereum,ws,1,61,116,131,133,74,16,-576458961173
eth_estimateGas,ethereum_chainstack,Chainstack Ethereum,ws,1,123,145,147,254,129.76,21,-576459410793
eth_estimateGas,ethereum_drpc,DRPC Ethereum,ws,1,78,81,92,106,67.69,16,-576458978677
eth_estimateGas,ethereum_llamarpc,LlamaRPC,ws,1,104,131,131,152,109.57,14,-576458981513
eth_estimateGas,ethereum_publicnode,PublicNode Ethereum,ws,1,195,195,195,195,195,1,-576459434312
eth_estimateGas,0xrpc_ethereum,0xRPC Ethereum,http,1,198,203,609,719,250.59,17,-576458969230
eth_estimateGas,alchemy_ethereum,Alchemy Ethereum,http,1,102,192,192,243,117.43,14,-576458960290
eth_estimateGas,ethereum_chainstack,Chainstack Ethereum,http,1,139,162,192,192,149,8,-576458990858
eth_estimateGas,ethereum_cloudflare,Cloudflare Ethereum,http,1,195,321,321,363,205,13,-576458971604
eth_estimateGas,ethereum_drpc,DRPC Ethereum,http,1,56,130,218,342,85.81,21,-576458979669
eth_estimateGas,flashbots_ethereum,Flashbots Ethereum,http,1,123,224,263,263,154.7,10,-576458963698
eth_estimateGas,ethereum_llamarpc,LlamaRPC,http,1,106,147,147,266,119,14,-576458976616
eth_estimateGas,ethereum_merkle,Merkle Ethereum,http,1,114,273,273,474,171.08,12,-576458991308
eth_estimateGas,ethereum_publicnode,PublicNode Ethereum,http,1,198,328,328,333,245.31,13,-576459000731
eth_feeHistory,0xrpc_ethereum,0xRPC Ethereum,ws,1,190,226,242,242,204.63,8,-576458983295
eth_feeHistory,alchemy_ethereum,Alchemy Ethereum,ws,1,59,125,150,150,73.7,10,-576458997075
eth_feeHistory,ethereum_chainstack,Chainstack Ethereum,ws,1,127,157,168,338,140.69,16,-576458967411
eth_feeHistory,ethereum_drpc,DRPC Ethereum,ws,1,201,224,224,226,156.14,14,-576459002841
eth_feeHistory,ethereum_llamarpc,LlamaRPC,ws,1,107,124,124,127,110.07,14,-576458990305
eth_feeHistory,0xrpc_ethereum,0xRPC Ethereum,http,1,209,579,657,703,315.63,16,-576458964701
eth_feeHistory,alchemy_ethereum,Alchemy Ethereum,http,1,93,115,115,190,101.36,11,-576459004412
eth_feeHistory,ethereum_chainstack,Chainstack Ethereum,http,1,140,200,200,266,153.33,15,-576459002983
eth_feeHistory,ethereum_drpc,DRPC Ethereum,http,1,79,214,294,548,125.53,17,-576458979580
eth_feeHistory,flashbots_ethereum,Flashbots Ethereum,http,1,123,206,226,892,171.8,20,-576458965313
eth_feeHistory,ethereum_llamarpc,LlamaRPC,http,1,107,156,156,233,121.79,14,-576458980905
eth_feeHistory,ethereum_merkle,Merkle Ethereum,http,1,104,226,226,335,132.79,14,-576458972625
eth_feeHistory,ethereum_publicnode,PublicNode Ethereum,http,1,221,322,322,323,239,14,-576458972138
eth_gasPrice,0xrpc_ethereum,0xRPC Ethereum,ws,1,188,289,342,342,223.38,8,-576458984580
eth_gasPrice,alchemy_ethereum,Alchemy Ethereum,ws,1,57,89,102,221,72.44,18,-576458995881
eth_gasPrice,ethereum_chainstack,Chainstack Ethereum,ws,1,121,148,162,279,134.19,16,-576458978506
eth_gasPrice,ethereum_drpc,DRPC Ethereum,ws,1,41,46,46,58,42.45,11,-576458985678
eth_gasPrice,ethereum_llamarpc,LlamaRPC,ws,1,110,133,133,190,117.87,15,-576458961013
eth_gasPrice,ethereum_publicnode,PublicNode Ethereum,ws,1,219,232,232,232,214.33,3,-576459019727
eth_gasPrice,0xrpc_ethereum,0xRPC Ethereum,http,1,200,589,596,607,314.76,17,-576458959332
eth_gasPrice,alchemy_ethereum,Alchemy Ethereum,http,1,86,151,287,287,120.1,10,-576458969835
eth_gasPrice,ethereum_chainstack,Chainstack Ethereum,http,1,166,179,191,191,159.17,6,-576458980325
eth_gasPrice,ethereum_drpc,DRPC Ethereum,http,1,47,85,85,472,81.36,14,-576458975555
eth_gasPrice,flashbots_ethereum,Flashbots Ethereum,http,1,98,106,106,229,107.31,13,-576458988923
eth_gasPrice,ethereum_llamarpc,LlamaRPC,http,1,106,188,194,195,126.89,18,-576458982760
eth_gasPrice,ethereum_merkle,Merkle Ethereum,http,1,105,119,135,135,109.43,7,-576458980820
eth_gasPrice,ethereum_publicnode,PublicNode Ethereum,http,1,191,206,267,267,201.75,8,-576458981222
eth_getBalance,0xrpc_ethereum,0xRPC Ethereum,ws,1,187,238,238,422,205.57,21,-576458986475
eth_getBalance,alchemy_ethereum,Alchemy Ethereum,ws,1,56,69,69,240,67.47,15,-576458961867
eth_getBalance,ethereum_chainstack,Chainstack Ethereum,ws,1,122,166,166,282,140.21,14,-576458964981
eth_getBalance,ethereum_drpc,DRPC Ethereum,ws,1,67,216,219,326,102.56,16,-576458970274
eth_getBalance,ethereum_llamarpc,LlamaRPC,ws,1,109,122,131,131,111,9,-576458960613
eth_getBalance,ethereum_publicnode,PublicNode Ethereum,ws,1,146,215,215,215,180.5,2,-576459012209
eth_getBalance,0xrpc_ethereum,0xRPC Ethereum,http,1,194,577,577,610,317.38,13,-576458962325
eth_getBalance,alchemy_ethereum,Alchemy Ethereum,http,1,91,129,197,257,106.35,20,-576458960298
eth_getBalance,ethereum_chainstack,Chainstack Ethereum,http,1,150,190,190,242,154.73,15,-576458975701
eth_getBalance,ethereum_drpc,DRPC Ethereum,http,1,51,315,315,329,98.86,14,-576458977162
eth_getBalance,flashbots_ethereum,Flashbots Ethereum,http,1,121,219,219,261,140.71,14,-576458960298
eth_getBalance,ethereum_llamarpc,LlamaRPC,http,1,103,117,117,132,105,14,-576458981615
eth_getBalance,ethereum_merkle,Merkle Ethereum,http,1,111,232,233,251,141.47,17,-576458982706
eth_getBalance,ethereum_publicnode,PublicNode Ethereum,http,1,197,285,286,366,210,16,-576458962833
eth_getBlockByHash,0xrpc_ethereum,0xRPC Ethereum,ws,1,478,544,3407,3407,870.14,7,-576458996913
eth_getBlockByHash,alchemy_ethereum,Alchemy Ethereum,ws,1,70,113,122,125,79.44,16,-576458960953
eth_getBlockByHash,ethereum_chainstack,Chainstack Ethereum,ws,1,193,216,216,222,196.83,12,-576458975522
eth_getBlockByHash,ethereum_drpc,DRPC Ethereum,ws,1,50,52,104,104,55,10,-576458963080
eth_getBlockByHash,ethereum_llamarpc,LlamaRPC,ws,1,116,163,163,288,134.38,13,-576458962209
eth_getBlockByHash,ethereum_publicnode,PublicNode Ethereum,ws,1,154,313,313,313,194.33,3,-576459016509
eth_getBlockByHash,0xrpc_ethereum,0xRPC Ethereum,http,1,383,386,412,412,383.33,9,-576459376603
eth_getBlockByHash,alchemy_ethereum,Alchemy Ethereum,http,1,103,154,211,211,119.4,10,-576458981008
eth_getBlockByHash,ethereum_chainstack,Chainstack Ethereum,http,1,154,255,268,268,173,10,-576458965170
